subject,test_alignment,acc,n,ci_lo,ci_hi
47,per_run,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
47,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
47,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
48,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
48,per_subject,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
48,none,0.7555555555555555,45,0.6046290712401733,0.871177185396492
49,per_run,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
49,per_subject,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
49,none,0.7555555555555555,45,0.6046290712401733,0.871177185396492
50,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
50,per_subject,0.6888888888888889,45,0.533508970087884,0.8183411960662779
50,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
51,per_run,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
51,per_subject,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
51,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
52,per_run,0.8,45,0.6540417022050522,0.9042427303088574
52,per_subject,0.8,45,0.6540417022050522,0.9042427303088574
52,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
53,per_run,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
53,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
53,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
54,per_run,0.8,45,0.6540417022050522,0.9042427303088574
54,per_subject,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
54,none,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
55,per_run,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
55,per_subject,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
55,none,0.7555555555555555,45,0.6046290712401733,0.871177185396492
56,per_run,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
56,per_subject,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
56,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
57,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
57,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
57,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
58,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
58,per_subject,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
58,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
59,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
59,per_subject,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
59,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
60,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
60,per_subject,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
60,none,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
61,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
61,per_subject,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
61,none,0.7555555555555555,45,0.6046290712401733,0.871177185396492
62,per_run,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
62,per_subject,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
62,none,0.7777777777777778,45,0.629112447400512,0.887954061122865
63,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
63,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
63,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
64,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
64,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
64,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
65,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
65,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
65,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
66,per_run,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
66,per_subject,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
66,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
67,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
67,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
67,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
68,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
68,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
68,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
69,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
69,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
69,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
70,per_run,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
70,per_subject,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
70,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
71,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
71,per_subject,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
71,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
72,per_run,0.9555555555555556,45,0.8485070997566608,0.9945715112997491
72,per_subject,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
72,none,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
73,per_run,0.8,45,0.6540417022050522,0.9042427303088574
73,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
73,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
74,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
74,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
74,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
75,per_run,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
75,per_subject,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
75,none,0.7555555555555555,45,0.6046290712401733,0.871177185396492
76,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
76,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
76,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
77,per_run,0.6,45,0.4433135124790022,0.7430241048073687
77,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
77,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
78,per_run,0.6,45,0.4433135124790022,0.7430241048073687
